sentence_espanol,security,reliability,NFR_boolean,,,,,,
El sistema proporcionará la capacidad de capturar la visualización de la tienda y gestionar el historial del paciente.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar datos estructurados en el historial del paciente.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de actualizar el historial del paciente modificando la adición o eliminación de elementos del historial del paciente según corresponda.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar el historial del paciente como presencia y ausencia de condiciones, es decir, la especificación de la ausencia de antecedentes personales o familiares de un procedimiento de diagnóstico específico o una conducta de riesgo para la salud.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar el historial recopilado de fuentes externas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar el historial del paciente en un formato codificado estándar.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de crear y mostrar una lista resumida para cada paciente que incluya como mínimo el problema activo o la lista de diagnóstico, la lista de medicamentos actuales, las alergias a los medicamentos y las reacciones adversas. El sistema deberá brindar la capacidad de crear documentación o notas clínicas (en adelante, ""documentación"").",0,0,0,,,,,,
El sistema deberá proporcionar la capacidad de mostrar documentación.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de guardar una nota en progreso antes de finalizarla.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de finalizar una nota, es decir, cambiar el estado de la nota de en curso a completada para que cualquier cambio posterior se registre como tal.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de registrar la identidad del usuario que finaliza cada nota y la fecha y hora de finalización.,1,0,1,,,,,,
El sistema deberá brindar la posibilidad de firmar conjuntamente una nota y registrar la fecha y hora de la firma.,1,0,1,,,,,,
El sistema brindará la posibilidad de agregar y posiblemente corregir notas que hayan sido finalizadas.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de identificar el contenido completo de una nota modificada, tanto el contenido original como el contenido resultante después de cualquier cambio, corrección, aclaración, adiciones, etc., a una nota finalizada.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de registrar y mostrar la identidad del usuario que agregó o corrigió una nota y la fecha y hora del cambio.,1,0,1,,,,,,
El sistema deberá brindar la posibilidad de ingresar notas de texto libre.,0,0,0,,,,,,
El sistema brindará la posibilidad de filtrar la búsqueda o el pedido de notas por el proveedor que finalizó la nota.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de filtrar notas de búsqueda u ordenar por diagnóstico asociado dentro del registro de un paciente.,0,0,0,,,,,,
"El sistema deberá proporcionar la capacidad de capturar los signos vitales del paciente, incluida la presión arterial, la frecuencia cardíaca, la frecuencia respiratoria, la altura y el peso, como datos discretos.",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de capturar y mostrar la temperatura, el peso y la altura en unidades métricas e inglesas. El sistema deberá poder indicar al usuario cuando una medición de signos vitales cae fuera de un rango normal preestablecido según lo establecido por los usuarios autorizados.",0,0,0,,,,,,
El sistema proporcionará la capacidad de capturar otros elementos de datos clínicos como datos discretos.,0,0,0,,,,,,
El sistema proporcionará plantillas para ingresar datos en un formato estructurado como parte de la documentación clínica.,0,0,0,,,,,,
El sistema brindará la posibilidad de personalizar plantillas clínicas.,0,0,0,,,,,,
"El sistema deberá ser capaz de registrar comentarios del paciente o de su representante sobre la exactitud o veracidad de la información contenida en el expediente del paciente (en adelante, ""anotaciones del paciente"").",0,0,0,,,,,,
El sistema mostrará las anotaciones de los pacientes de una manera que las distinga del resto del contenido del sistema.,0,0,0,,,,,,
El sistema deberá proporcionar la capacidad de representar gráficamente la altura y el peso a lo largo del tiempo.,0,0,0,,,,,,
El sistema proporcionará la capacidad de calcular y mostrar el índice de masa corporal (IMC).,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar y almacenar documentos externos.,0,0,0,,,,,,
El sistema deberá ofrecer la posibilidad de guardar documentos escaneados como imágenes.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de recibir, almacenar en el registro del paciente y mostrar informes externos basados ​​en texto.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de indexar documentos escaneados y asociar una fecha y un tipo de documento al documento.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de recuperar documentos escaneados indexados según el tipo de documento y la fecha.,0,0,0,,,,,,
El sistema proporcionará acceso a imágenes clínicas.,0,0,0,,,,,,
Deben ser accesibles desde el historial del paciente y estar etiquetados y con fecha y hora estampadas o incluirse en un documento de encuentro con el paciente.,0,0,0,,,,,,
Estas imágenes pueden almacenarse dentro del sistema o proporcionarse mediante enlace directo a fuentes externas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de aceptar el almacenamiento en el registro del paciente y mostrar los resultados clínicos recibidos a través de una interfaz con una fuente externa.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de producir instrucciones para el paciente y materiales educativos para el paciente que pueden residir dentro del sistema o proporcionarse a través de enlaces a fuentes externas.,0,0,0,,,,,,
El sistema deberá tener la capacidad de brindar acceso a instrucciones de procedimientos y pruebas específicas del paciente que puedan ser modificadas por el médico o la organización de salud; Estas instrucciones deben darse al paciente.,0,0,0,,,,,,
Estas instrucciones pueden residir dentro del sistema o proporcionarse a través de enlaces a fuentes externas.,0,0,0,,,,,,
El sistema deberá tener la capacidad de brindar acceso a instrucciones de procedimientos y pruebas específicas del paciente que puedan ser modificadas por el médico o la organización de salud; Estas instrucciones deben entregarse al cumplimentador del pedido.,0,0,0,,,,,,
Estas instrucciones pueden residir dentro del sistema o proporcionarse a través de enlaces a fuentes externas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de registrar que se le proporcionaron instrucciones específicas o material educativo al paciente.,1,0,1,,,,,,
El sistema deberá brindar la capacidad de crear instrucciones específicas para el paciente.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de acceder y revisar información sobre medicamentos (como material educativo para el paciente o monografías de medicamentos).,0,0,0,,,,,,
Esto puede residir dentro del sistema o proporcionarse a través de enlaces a fuentes externas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de crear pedidos de recetas u otros medicamentos con información suficiente para que una farmacia los surta y dispense correctamente.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de registrar el usuario y el sello de fecha para eventos relacionados con la receta, como la creación inicial, la renovación, la interrupción del suministro y la cancelación de una receta.",1,0,1,,,,,,
El sistema deberá brindar la capacidad de capturar la identidad del proveedor que prescribe para todos los pedidos de medicamentos.,1,0,1,,,,,,
"El sistema deberá brindar la capacidad de capturar contenido común para los detalles de la prescripción, incluida la cantidad de la señal de concentración y los reabastecimientos que seleccionará el médico que realiza el pedido.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de recibir y mostrar información recibida a través de la verificación electrónica de elegibilidad de recetas.,0,0,0,,,,,,
"El sistema deberá brindar la posibilidad de reordenar una receta anterior sin volver a ingresar datos anteriores (por ejemplo, cantidad del programa de administración).",0,0,0,,,,,,
El sistema deberá proporcionar la capacidad de imprimir y enviar por fax recetas electrónicas.,0,0,0,,,,,,
El sistema deberá ofrecer la posibilidad de volver a imprimir y enviar recetas por fax.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar una calculadora de dosis para la dosificación específica del paciente en función del peso.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de identificar muestras de medicamentos dispensados, incluido el número de lote y la fecha de vencimiento.",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de prescribir cantidades fraccionarias de medicamento (por ejemplo, 1 o 2 cucharaditas, 1 o 2 tabletas).",0,0,0,,,,,,
El sistema deberá brindar la capacidad de alertar al usuario si la información sobre interacciones medicamentosas está desactualizada.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de permitir al usuario configurar recetas para incorporar texto fijo de acuerdo con las especificaciones del usuario.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar y mantener como datos discretos un código o descripción de diagnóstico o problema asociado con una orden de cualquier tipo (incluidas recetas y medicamentos ordenados para administración).,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar el problema o diagnóstico asociado (indicación) en la receta impresa.,0,0,0,,,,,,
El sistema brindará la capacidad de crear listas de medicamentos específicas del proveedor de los medicamentos recetados más comúnmente con una frecuencia y cantidad de dosis de ruta predeterminada.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de agregar recordatorios de las pruebas de seguimiento necesarias según la medicación prescrita.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de alertar al usuario en el momento en que se prescribe u ordena un nuevo medicamento que no se realizará la verificación del formulario y la alergia a las interacciones entre medicamentos con el medicamento no codificado o el medicamento de texto libre.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de recetar u ordenar medicamentos no codificados y que no estén en el formulario.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mantener una lista codificada de medicamentos que incluya un identificador único para cada medicamento.,0,0,0,,,,,,
El sistema brindará a los usuarios finales la posibilidad de buscar medicamentos por nombre genérico o de marca.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de acceder a información de referencia para prescribir u ordenar.,0,0,0,,,,,,
"El sistema brindará la capacidad de solicitar pruebas de diagnóstico, incluidos laboratorios y estudios de imágenes.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar la identidad del proveedor que realiza el pedido para todos los pedidos de prueba.,1,0,1,,,,,,
"El sistema deberá brindar la capacidad de capturar los detalles apropiados de entrada de pedidos, incluido el diagnóstico asociado.",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de mostrar instrucciones creadas por el usuario, posiblemente y posiblemente indicaciones al solicitar pruebas o procedimientos de diagnóstico.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de transmitir órdenes de una prueba de diagnóstico al destino correcto para su finalización.,0,0,0,,,,,,
El sistema tendrá la capacidad de proporcionar una vista de los pedidos activos para un paciente individual.,0,0,0,,,,,,
"El sistema tendrá la capacidad de proporcionar una vista de las órdenes por tipo similar o comparable, p.e.  toda radiología o todas las órdenes de laboratorio.",0,0,0,,,,,,
El sistema brindará la capacidad de mostrar pedidos pendientes para múltiples pacientes (a diferencia de pedidos pendientes para un solo paciente).,0,0,0,,,,,,
El sistema deberá brindar la capacidad de ver información de estado de los servicios solicitados.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de definir un conjunto de artículos que se ordenarán como un grupo.,0,0,0,,,,,,
El sistema deberá proporcionar la capacidad de modificar conjuntos de órdenes.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de incluir en un conjunto de pedidos tipos de pedidos que incluyen, entre otros, medicamentos, pruebas de laboratorio, estudios de imágenes, procedimientos y derivaciones.",0,0,0,,,,,,
El sistema deberá brindar la posibilidad de que el usuario seleccione o deseleccione pedidos individuales en un conjunto de pedidos.,0,0,0,,,,,,
"El sistema brindará la capacidad de mostrar los pedidos realizados a través de un conjunto de pedidos, ya sea individualmente o en grupo.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de indicar resultados normales y anormales basándose en los datos proporcionados por la fuente de datos original.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar resultados numéricos en diagramas de flujo y en forma gráfica para comparar resultados y brindará la capacidad de mostrar valores graficados a lo largo del tiempo.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar resultados de pruebas históricos y actuales no numéricos como datos textuales.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de notificar a los proveedores relevantes (a quienes solicitan una copia) que se han recibido nuevos resultados.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de filtrar u ordenar los resultados por tipo de prueba y fecha de prueba.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de enviar un resultado a otros usuarios.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de vincular los resultados al pedido original.,0,0,0,,,,,,
El sistema brindará a un usuario la posibilidad de adjuntar un comentario de texto libre a un resultado que pueda ser visto por otro usuario que posteriormente pueda ver ese resultado.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de asociar una o más imágenes con un resultado no numérico.,0,0,0,,,,,,
El sistema deberá proporcionar la capacidad para que un usuario al que se le presente un resultado reconozca el resultado.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar documentos de consentimiento en papel escaneados (cubiertos en DC.1.1.3.1).,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de almacenar, mostrar e imprimir formularios de consentimiento del paciente.",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de almacenar y mostrar documentos administrativos (por ejemplo, avisos de privacidad).",0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar cronológicamente los consentimientos y autorizaciones.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de indicar que un paciente ha completado sus directivas anticipadas.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de indicar el tipo de directivas anticipadas, como un testamento vital, un poder notarial duradero o una orden de ""No resucitar"".",0,0,0,,,,,,
El sistema deberá proporcionar la capacidad de indicar cuándo se revisaron las directivas anticipadas por última vez.,0,0,0,,,,,,
El sistema tendrá la capacidad de brindar acceso a los documentos de pautas y protocolos del plan de atención estándar cuando se solicite en el momento del encuentro clínico.,0,0,0,,,,,,
Estos documentos pueden residir dentro del sistema o proporcionarse a través de enlaces a fuentes externas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de crear protocolos y directrices para el plan de atención específicos del sitio.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de modificar el protocolo del plan de atención estándar específico del sitio y los documentos de pautas obtenidos de fuentes externas.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de verificar posibles interacciones entre los medicamentos que se recetarán y las alergias e intolerancias a los medicamentos enumeradas en el registro y alertar al usuario en el momento de recetar u ordenar el medicamento si existen posibles interacciones.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de establecer el nivel de gravedad en el que se deben mostrar las advertencias de interacción entre medicamentos.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de mostrar, a pedido, posibles interacciones entre medicamentos y alergias, interacciones entre medicamentos e interacciones entre medicamentos y diagnósticos basados ​​en medicamentos actuales, alergias activas y problemas activos.",0,0,0,,,,,,
El sistema proporcionará alertas de interacción entre medicamentos y diagnóstico en el momento de prescribir o solicitar el medicamento.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad, cuando se documente una nueva alergia, de verificar una posible interacción entre la alergia recientemente documentada y los medicamentos actuales del paciente y alertar al usuario si dichas interacciones existen.",0,0,0,,,,,,
El sistema deberá brindar la capacidad de verificar posibles interacciones entre los medicamentos que se recetarán u ordenarán y los medicamentos actuales y alertará al usuario en el momento de recetar u ordenar el medicamento si existen posibles interacciones.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de ver el motivo de una alerta de interacción farmacológica.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar y mantener al menos una razón para anular cualquier advertencia de interacción entre medicamentos o alergia o intolerancia a medicamentos activada en el momento de prescribir o ordenar el medicamento.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de ingresar una respuesta estructurada al anular una advertencia de medicamento o de alergia o intolerancia a un medicamento.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de recetar u ordenar un medicamento a pesar de las alertas de posibles interacciones y posiblemente alergias o intolerancias presentes.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar detalles de la administración de medicamentos como datos discretos que incluyen: (1) el nombre y la dosis del medicamento; (2) fecha y hora de administración; (3) ruta y sitio; (4) número de lote y fecha de vencimiento; (5) fabricante; y (6) identificación de usuario.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar en un campo discreto una alergia o reacción adversa a una inmunización específica.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de capturar detalles de la administración de la inmunización como datos discretos que incluyen: (1) el tipo y la dosis de la inmunización;  (2) fecha y hora de administración;  (3) ruta y sitio;  (4) número de lote y fecha de vencimiento;  (5) fabricante; y (6) identificación de usuario.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de crear órdenes de referencia con el detalle adecuado para un enrutamiento correcto.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de registrar la identificación del usuario y la fecha u hora de todos los eventos relacionados con la referencia.,1,0,1,,,,,,
"El sistema brindará la capacidad de establecer criterios para el manejo de enfermedades, bienestar y servicios preventivos basados ​​en datos demográficos del paciente (como mínimo, edad y sexo).",0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar alertas basadas en pautas establecidas.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de establecer criterios para el manejo de enfermedades, bienestar y servicios preventivos con base en datos clínicos (lista de problemas o diagnóstico de medicamentos actuales).",0,0,0,,,,,,
El sistema deberá brindar la capacidad de actualizar las pautas de manejo de enfermedades y cualquier material de referencia asociado.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de actualizar servicios preventivos o pautas de bienestar y cualquier material de referencia asociado.,0,0,0,,,,,,
El sistema deberá proporcionar la capacidad de anular las directrices.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de documentar las razones por las cuales se anularon el manejo de enfermedades, los servicios preventivos o las indicaciones de bienestar.",0,0,0,,,,,,
El sistema proporcionará la capacidad de modificar las reglas o parámetros en los que se basan las alertas relacionadas con las directrices.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de documentar que se ha realizado un servicio preventivo o de gestión de enfermedades en función de las actividades documentadas en el registro (por ejemplo, signos vitales tomados).",0,0,0,,,,,,
El sistema deberá brindar la capacidad de documentar que se ha realizado un servicio preventivo o de manejo de enfermedades con fechas asociadas u otros detalles relevantes registrados.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de individualizar alertas para abordar la situación clínica específica de un paciente.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de identificar pruebas de servicios preventivos o asesoramiento que se deben realizar a un paciente individual.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar recordatorios de los servicios preventivos y de bienestar del manejo de enfermedades en el registro del paciente.,0,0,0,,,,,,
"El sistema brindará la capacidad de identificar criterios para los servicios preventivos y de bienestar del manejo de enfermedades en función de los datos demográficos del paciente (edad, sexo).",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de identificar criterios para el manejo de enfermedades, servicios preventivos y de bienestar basados ​​en datos clínicos (lista de problemas o diagnósticos, valores de laboratorio de medicamentos actuales).",0,0,0,,,,,,
El sistema deberá brindar la posibilidad de modificar los criterios o reglas de las pautas que activan los recordatorios.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de notificar al proveedor que los pacientes deben recibir servicios preventivos o de bienestar para el manejo de enfermedades o que están atrasados.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de producir una lista de pacientes que deben o están atrasados ​​para recibir servicios preventivos o de bienestar para el manejo de enfermedades.,0,0,0,,,,,,
El sistema brindará la capacidad de generar automáticamente cartas recordatorias para los pacientes que deben o están atrasados ​​en recibir servicios preventivos o de bienestar para el manejo de enfermedades.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de crear y asignar tareas por usuario o rol de usuario.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de presentar una lista de tareas por usuario o rol de usuario.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de reasignar y enrutar tareas de un usuario a otro.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de designar una tarea como completada.,0,0,0,,,,,,
El sistema deberá brindar la posibilidad de eliminar una tarea sin completarla.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de documentar la comunicación verbal o telefónica en el registro del paciente.,0,0,0,,,,,,
El sistema admitirá la mensajería entre usuarios.,0,0,0,,,,,,
El sistema tendrá la capacidad de proporcionar comunicación electrónica entre quienes prescriben y las farmacias u otros destinatarios previstos del pedido de medicamento.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mantener un directorio de todo el personal clínico que actualmente usa o accede al sistema.,0,0,0,,,,,,
"El sistema brindará la capacidad de mantener un directorio que contenga los identificadores necesarios para que los médicos autorizados respalden la práctica de la medicina, incluida, como mínimo, la licencia médica estatal DEA y NPI.",0,0,0,,,,,,
El sistema permitirá a los usuarios autorizados actualizar el directorio.,1,0,1,,,,,,
El sistema deberá brindar la capacidad de crear y mantener un directorio de personal clínico externo a la organización que no sea usuario del sistema para facilitar la comunicación y el intercambio de información.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de mostrar un cronograma de citas de pacientes completado ya sea mediante la entrada de datos en el propio sistema o mediante una aplicación externa que interactúe con el sistema.,0,0,0,,,,,,
El sistema deberá brindar la capacidad de generar informes de datos clínicos y administrativos utilizando herramientas de informes internas o externas.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de generar informes que consistan en todo o parte del registro médico de un paciente individual (por ejemplo, resumen del paciente).",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de generar informes sobre múltiples pacientes (por ejemplo, lista de diabetes).",0,0,0,,,,,,
"El sistema deberá brindar la capacidad de especificar parámetros de informe (criterios de clasificación y filtrado) en función de los datos clínicos y demográficos del paciente (por ejemplo, todos los pacientes varones mayores de 50 años que sean diabéticos y tengan un valor de HbA1c superior a 7,0 o que estén tomando un determinado medicamento).",0,0,0,,,,,,
El sistema deberá brindar la posibilidad de acceder a informes fuera de la aplicación EHR.,0,0,0,,,,,,
"El sistema deberá brindar la capacidad de producir informes basados ​​en la ausencia de un elemento de datos clínicos (por ejemplo, no se ha realizado una prueba de laboratorio o no se ha medido la presión arterial en el último año).",0,0,0,,,,,,
El sistema deberá brindar la capacidad de guardar parámetros de informe para generar informes posteriores.,0,0,0,,,,,,
